name,date,type,comment,potentials
2014-12-05-New-posting-for-UO2,2014-12-05,new posting,New posting for UO2,"[{'id': '2014--Thompson-A-E-Meredig-B-Stan-M-Wolverton-C--UO2', 'key': 'd8f4e585-4cca-4209-977f-ec0a19a64497', 'dois': ['10.1016/j.jnucmat.2013.11.040'], 'elements': ['U', 'O'], 'othername': 'UO2', 'fictional': False}]"
2015-02-23 New postings for fictional Na,2015-02-23,new posting,New postings for fictional Na,"[{'id': '2015--Wilson-S-R-Gunawardana-K-G-S-H-Mendelev-M-I--fictional-Na', 'key': '368f8701-ba1a-45c9-a631-c145942efc59', 'dois': ['10.1063/1.4916741'], 'elements': ['Na'], 'othername': None, 'fictional': True}]"
2015-02-23-New-postings-for-fictional-Na,2015-02-23,new posting,New postings for fictional Na,"[{'id': '2015--Wilson-S-R-Gunawardana-K-G-S-H-Mendelev-M-I--fictional-Na', 'key': '368f8701-ba1a-45c9-a631-c145942efc59', 'dois': ['10.1063/1.4916741'], 'elements': ['Na'], 'othername': None, 'fictional': True}]"
2015-05-05 Updated publication information,2015-05-05,updated posting,Updated publication information,"[{'id': '2015--Wilson-S-R-Mendelev-M-I--Ni-Zr', 'key': 'ee7b64fc-4e6e-4b43-8de1-082b8f85bd91', 'dois': ['10.1080/14786435.2014.995742'], 'elements': ['Ni', 'Zr'], 'othername': None, 'fictional': False}, {'id': '2015--Wilson-S-R-Gunawardana-K-G-S-H-Mendelev-M-I--Na', 'key': '5f0a7080-5a72-49a2-885e-8083f47a144b', 'dois': ['10.1063/1.4916741'], 'elements': ['Na'], 'othername': None, 'fictional': False}, {'id': '2015--Wilson-S-R-Gunawardana-K-G-S-H-Mendelev-M-I--fictional-Na', 'key': '368f8701-ba1a-45c9-a631-c145942efc59', 'dois': ['10.1063/1.4916741'], 'elements': ['Na'], 'othername': None, 'fictional': True}]"
2015-05-05-Updated-publication-information,2015-05-05,updated posting,Updated publication information,"[{'id': '2015--Wilson-S-R-Mendelev-M-I--Ni-Zr', 'key': 'ee7b64fc-4e6e-4b43-8de1-082b8f85bd91', 'dois': ['10.1080/14786435.2014.995742'], 'elements': ['Ni', 'Zr'], 'othername': None, 'fictional': False}, {'id': '2015--Wilson-S-R-Gunawardana-K-G-S-H-Mendelev-M-I--Na', 'key': '5f0a7080-5a72-49a2-885e-8083f47a144b', 'dois': ['10.1063/1.4916741'], 'elements': ['Na'], 'othername': None, 'fictional': False}, {'id': '2015--Wilson-S-R-Gunawardana-K-G-S-H-Mendelev-M-I--fictional-Na', 'key': '368f8701-ba1a-45c9-a631-c145942efc59', 'dois': ['10.1063/1.4916741'], 'elements': ['Na'], 'othername': None, 'fictional': True}]"
2015-06-13 Updated publication information,2015-06-13,updated posting,Updated publication information,"[{'id': '2015--Mendelev-M-I-Zhang-F-Ye-Z-et-al--Al-Sm', 'key': '82be9397-2466-47ee-89d5-6f8b55dd7b5d', 'dois': ['10.1088/0965-0393/23/4/045013'], 'elements': ['Al', 'Sm'], 'othername': None, 'fictional': False}, {'id': '2015--Borovikov-V-Mendelev-M-I-King-A-H-LeSar-R--fictional-Cu', 'key': 'f368fc57-bb04-4d27-82ad-b4b408fcfa52', 'dois': ['10.1088/0965-0393/23/5/055003'], 'elements': ['Cu'], 'othername': None, 'fictional': True}]"
2015-06-13-Updated-publication-information,2015-06-13,updated posting,Updated publication information,"[{'id': '2015--Mendelev-M-I-Zhang-F-Ye-Z-et-al--Al-Sm', 'key': '82be9397-2466-47ee-89d5-6f8b55dd7b5d', 'dois': ['10.1088/0965-0393/23/4/045013'], 'elements': ['Al', 'Sm'], 'othername': None, 'fictional': False}, {'id': '2015--Borovikov-V-Mendelev-M-I-King-A-H-LeSar-R--fictional-Cu', 'key': 'f368fc57-bb04-4d27-82ad-b4b408fcfa52', 'dois': ['10.1088/0965-0393/23/5/055003'], 'elements': ['Cu'], 'othername': None, 'fictional': True}]"
2015-08-26 New posting for U-Zr,2015-08-26,new posting,New posting for U-Zr,"[{'id': '2015--Moore-A-P-Beeler-B-Deo-C-et-al--U-Zr', 'key': '94566722-46b5-4f66-8202-5dfebeba3f80', 'dois': ['10.1016/j.jnucmat.2015.10.016'], 'elements': ['U', 'Zr'], 'othername': None, 'fictional': False}]"
2015-08-26 Updated publication information,2015-08-26,updated posting,Updated publication information,"[{'id': '2015--Purja-Pun-G-P-Yamakov-V-Mishin-Y--Ni-Al-Co', 'key': '0f6e3cef-c588-4dcb-a0a6-66878f64ac50', 'dois': ['10.1088/0965-0393/23/6/065006'], 'elements': ['Ni', 'Al', 'Co'], 'othername': None, 'fictional': False}, {'id': '2015--Purja-Pun-G-P-Yamakov-V-Mishin-Y--Al-Co', 'key': '71b03297-b66d-4efd-9502-02cf83d9dc38', 'dois': ['10.1088/0965-0393/23/6/065006'], 'elements': ['Al', 'Co'], 'othername': None, 'fictional': False}, {'id': '2015--Purja-Pun-G-P-Yamakov-V-Mishin-Y--Ni-Co', 'key': '20fa46b5-6b6f-4e6e-9400-66edb643c679', 'dois': ['10.1088/0965-0393/23/6/065006'], 'elements': ['Ni', 'Co'], 'othername': None, 'fictional': False}]"
2015-08-26-New-posting-for-U-Zr,2015-08-26,new posting,New posting for U-Zr,"[{'id': '2015--Moore-A-P-Beeler-B-Deo-C-et-al--U-Zr', 'key': '94566722-46b5-4f66-8202-5dfebeba3f80', 'dois': ['10.1016/j.jnucmat.2015.10.016'], 'elements': ['U', 'Zr'], 'othername': None, 'fictional': False}]"
2015-08-26-New-postings-for-fictional-Cu-to-supplement-the-previously-available-ones-in-2015--Borovik,2015-08-26,new posting,"New postings for fictional Cu to supplement the previously available ones in <a href=""entry/2015--Borovikov-V-Mendelev-M-I-King-A-H-LeSar-R--fictional-Cu"">2015--Borovikov-V-Mendelev-M-I-King-A-H-LeSar-R--fictional-Cu</a>","[{'id': '2015--Mendelev-M-I--fictional-Cu', 'key': 'f9ccf381-2128-4a71-adc7-ce831764dc39', 'dois': [], 'elements': ['Cu'], 'othername': None, 'fictional': True}]"
2015-08-26-Updated-publication-information,2015-08-26,updated posting,Updated publication information,"[{'id': '2015--Purja-Pun-G-P-Yamakov-V-Mishin-Y--Ni-Al-Co', 'key': '0f6e3cef-c588-4dcb-a0a6-66878f64ac50', 'dois': ['10.1088/0965-0393/23/6/065006'], 'elements': ['Ni', 'Al', 'Co'], 'othername': None, 'fictional': False}, {'id': '2015--Purja-Pun-G-P-Yamakov-V-Mishin-Y--Al-Co', 'key': '71b03297-b66d-4efd-9502-02cf83d9dc38', 'dois': ['10.1088/0965-0393/23/6/065006'], 'elements': ['Al', 'Co'], 'othername': None, 'fictional': False}, {'id': '2015--Purja-Pun-G-P-Yamakov-V-Mishin-Y--Ni-Co', 'key': '20fa46b5-6b6f-4e6e-9400-66edb643c679', 'dois': ['10.1088/0965-0393/23/6/065006'], 'elements': ['Ni', 'Co'], 'othername': None, 'fictional': False}]"
2015-08-27 New posting for Fe-Cr,2015-08-27,new posting,New posting for Fe-Cr,"[{'id': '2015--Eich-S-M-Beinke-D-Schmitz-G--Fe-Cr', 'key': 'dd645cb8-8065-4cdf-96e0-3b0ca893ef60', 'dois': ['10.1016/j.commatsci.2015.03.047'], 'elements': ['Fe', 'Cr'], 'othername': None, 'fictional': False}]"
2015-08-27-New-posting-for-Fe-Cr,2015-08-27,new posting,New posting for Fe-Cr,"[{'id': '2015--Eich-S-M-Beinke-D-Schmitz-G--Fe-Cr', 'key': 'dd645cb8-8065-4cdf-96e0-3b0ca893ef60', 'dois': ['10.1016/j.commatsci.2015.03.047'], 'elements': ['Fe', 'Cr'], 'othername': None, 'fictional': False}]"
2015-09-24 New posting for Fe-Ti-C,2015-09-24,new posting,New posting for Fe-Ti-C,"[{'id': '2009--Kim-H-K-Jung-W-S-Lee-B-J--Fe-Ti-C', 'key': '205eeeb9-973f-4849-8288-c05f05aaa42d', 'dois': ['10.1016/j.actamat.2009.03.019'], 'elements': ['Fe', 'Ti', 'C'], 'othername': None, 'fictional': False}]"
2015-09-24-New-posting-for-Fe-Ti-C,2015-09-24,new posting,New posting for Fe-Ti-C,"[{'id': '2009--Kim-H-K-Jung-W-S-Lee-B-J--Fe-Ti-C', 'key': '205eeeb9-973f-4849-8288-c05f05aaa42d', 'dois': ['10.1016/j.actamat.2009.03.019'], 'elements': ['Fe', 'Ti', 'C'], 'othername': None, 'fictional': False}]"
2015-10-08 Corrected file for MCu1_MendelevM_2014.eam.fs,2015-10-08,updated posting,Corrected file for MCu1_MendelevM_2014.eam.fs,"[{'id': '2015--Borovikov-V-Mendelev-M-I-King-A-H-LeSar-R--fictional-Cu', 'key': 'f368fc57-bb04-4d27-82ad-b4b408fcfa52', 'dois': ['10.1088/0965-0393/23/5/055003'], 'elements': ['Cu'], 'othername': None, 'fictional': True}]"
2015-10-08-Corrected-file-for-MCu1 MendelevM 2014.eam,2015-10-08,updated posting,Corrected file for MCu1_MendelevM_2014.eam.fs,"[{'id': '2015--Borovikov-V-Mendelev-M-I-King-A-H-LeSar-R--fictional-Cu', 'key': 'f368fc57-bb04-4d27-82ad-b4b408fcfa52', 'dois': ['10.1088/0965-0393/23/5/055003'], 'elements': ['Cu'], 'othername': None, 'fictional': True}]"
2015-10-28 Updated publication information,2015-10-28,updated posting,Updated publication information,"[{'id': '2012--Purja-Pun-G-P-Mishin-Y--Co', 'key': 'a51fd82a-2bb5-4d30-9663-5f730c6fab40', 'dois': ['10.1103/physrevb.86.134116'], 'elements': ['Co'], 'othername': None, 'fictional': False}]"
2015-10-28-Updated-publication-information,2015-10-28,updated posting,Updated publication information,"[{'id': '2012--Purja-Pun-G-P-Mishin-Y--Co', 'key': 'a51fd82a-2bb5-4d30-9663-5f730c6fab40', 'dois': ['10.1103/physrevb.86.134116'], 'elements': ['Co'], 'othername': None, 'fictional': False}]"
2015-12-15 Updated versions added that correct an issue with the cutoff distance for Co interactions,2015-12-15,updated posting,Updated versions added that correct an issue with the cutoff distance for Co interactions,"[{'id': '2015--Purja-Pun-G-P-Yamakov-V-Mishin-Y--Ni-Al-Co', 'key': '0f6e3cef-c588-4dcb-a0a6-66878f64ac50', 'dois': ['10.1088/0965-0393/23/6/065006'], 'elements': ['Ni', 'Al', 'Co'], 'othername': None, 'fictional': False}, {'id': '2015--Purja-Pun-G-P-Yamakov-V-Mishin-Y--Al-Co', 'key': '71b03297-b66d-4efd-9502-02cf83d9dc38', 'dois': ['10.1088/0965-0393/23/6/065006'], 'elements': ['Al', 'Co'], 'othername': None, 'fictional': False}, {'id': '2015--Purja-Pun-G-P-Yamakov-V-Mishin-Y--Ni-Co', 'key': '20fa46b5-6b6f-4e6e-9400-66edb643c679', 'dois': ['10.1088/0965-0393/23/6/065006'], 'elements': ['Ni', 'Co'], 'othername': None, 'fictional': False}]"
2015-12-15-Updated-versions-added-that-correct-an-issue-with-the-cutoff-distance-for-Co-interactions,2015-12-15,updated posting,Updated versions added that correct an issue with the cutoff distance for Co interactions,"[{'id': '2015--Purja-Pun-G-P-Yamakov-V-Mishin-Y--Ni-Al-Co', 'key': '0f6e3cef-c588-4dcb-a0a6-66878f64ac50', 'dois': ['10.1088/0965-0393/23/6/065006'], 'elements': ['Ni', 'Al', 'Co'], 'othername': None, 'fictional': False}, {'id': '2015--Purja-Pun-G-P-Yamakov-V-Mishin-Y--Al-Co', 'key': '71b03297-b66d-4efd-9502-02cf83d9dc38', 'dois': ['10.1088/0965-0393/23/6/065006'], 'elements': ['Al', 'Co'], 'othername': None, 'fictional': False}, {'id': '2015--Purja-Pun-G-P-Yamakov-V-Mishin-Y--Ni-Co', 'key': '20fa46b5-6b6f-4e6e-9400-66edb643c679', 'dois': ['10.1088/0965-0393/23/6/065006'], 'elements': ['Ni', 'Co'], 'othername': None, 'fictional': False}]"
2015-12-18 New posting for fictional Mg,2015-12-18,new posting,New posting for fictional Mg,"[{'id': '2015--Mendelev-M-I--fictional-Mg', 'key': 'a1f4f48b-f340-4ae4-877d-330385a99b81', 'dois': [], 'elements': ['Mg'], 'othername': None, 'fictional': True}]"
2015-12-18-New-posting-for-fictional-Mg,2015-12-18,new posting,New posting for fictional Mg,"[{'id': '2015--Mendelev-M-I--fictional-Mg', 'key': 'a1f4f48b-f340-4ae4-877d-330385a99b81', 'dois': [], 'elements': ['Mg'], 'othername': None, 'fictional': True}]"
2015-12-23 Updated publication information and some LAMMPS compatible versions added,2015-12-23,updated posting,Updated publication information and some LAMMPS compatible versions added,"[{'id': '2016--Nichol-A-Ackland-G-J--Cs', 'key': 'ca73cf4e-aaae-40f6-9592-6f28abc18029', 'dois': ['10.1103/physrevb.93.184101'], 'elements': ['Cs'], 'othername': None, 'fictional': False}, {'id': '2016--Nichol-A-Ackland-G-J--K', 'key': '3957686c-62de-4eee-af2c-435a4527ba4a', 'dois': ['10.1103/physrevb.93.184101'], 'elements': ['K'], 'othername': None, 'fictional': False}, {'id': '2016--Nichol-A-Ackland-G-J--Li', 'key': '5db4343e-0340-43bd-8a36-b42fa75e2c33', 'dois': ['10.1103/physrevb.93.184101'], 'elements': ['Li'], 'othername': None, 'fictional': False}, {'id': '2003--Han-S-Zepeda-Ruiz-L-A-Ackland-G-J-et-al--Mo', 'key': '21b10c3a-6b73-4c77-970e-7112591c4e44', 'dois': ['10.1063/1.1555275'], 'elements': ['Mo'], 'othername': None, 'fictional': False}, {'id': '2016--Nichol-A-Ackland-G-J--Na', 'key': 'd3ec6aef-1fc5-4151-a290-6e61acd25a77', 'dois': ['10.1103/physrevb.93.184101'], 'elements': ['Na'], 'othername': None, 'fictional': False}, {'id': '2003--Han-S-Zepeda-Ruiz-L-A-Ackland-G-J-et-al--Nb', 'key': '8e15e753-5d79-47e7-bdd4-2f9a0cf343f3', 'dois': ['10.1063/1.1555275'], 'elements': ['Nb'], 'othername': None, 'fictional': False}, {'id': '2016--Nichol-A-Ackland-G-J--Rb', 'key': 'd29d05b2-33eb-402e-98b2-3e52c8d3db9a', 'dois': ['10.1103/physrevb.93.184101'], 'elements': ['Rb'], 'othername': None, 'fictional': False}, {'id': '2003--Han-S-Zepeda-Ruiz-L-A-Ackland-G-J-et-al--Ta', 'key': 'f04a3f32-e772-47e7-8b2d-d8ec39c2c732', 'dois': ['10.1063/1.1555275'], 'elements': ['Ta'], 'othername': None, 'fictional': False}, {'id': '2003--Han-S-Zepeda-Ruiz-L-A-Ackland-G-J-et-al--V', 'key': '04ad93c0-31f0-413f-a6f0-a68f2e709b8f', 'dois': ['10.1063/1.1555275'], 'elements': ['V'], 'othername': None, 'fictional': False}, {'id': '2003--Han-S-Zepeda-Ruiz-L-A-Ackland-G-J-et-al--W', 'key': '4be111f4-c616-4196-8912-6809c97e5ecb', 'dois': ['10.1063/1.1555275'], 'elements': ['W'], 'othername': None, 'fictional': False}]"
2015-12-23-Updated-publication-information-and-some-LAMMPS-compatible-versions-added,2015-12-23,updated posting,Updated publication information and some LAMMPS compatible versions added,"[{'id': '2016--Nichol-A-Ackland-G-J--Cs', 'key': 'ca73cf4e-aaae-40f6-9592-6f28abc18029', 'dois': ['10.1103/physrevb.93.184101'], 'elements': ['Cs'], 'othername': None, 'fictional': False}, {'id': '2016--Nichol-A-Ackland-G-J--K', 'key': '3957686c-62de-4eee-af2c-435a4527ba4a', 'dois': ['10.1103/physrevb.93.184101'], 'elements': ['K'], 'othername': None, 'fictional': False}, {'id': '2016--Nichol-A-Ackland-G-J--Li', 'key': '5db4343e-0340-43bd-8a36-b42fa75e2c33', 'dois': ['10.1103/physrevb.93.184101'], 'elements': ['Li'], 'othername': None, 'fictional': False}, {'id': '2003--Han-S-Zepeda-Ruiz-L-A-Ackland-G-J-et-al--Mo', 'key': '21b10c3a-6b73-4c77-970e-7112591c4e44', 'dois': ['10.1063/1.1555275'], 'elements': ['Mo'], 'othername': None, 'fictional': False}, {'id': '2016--Nichol-A-Ackland-G-J--Na', 'key': 'd3ec6aef-1fc5-4151-a290-6e61acd25a77', 'dois': ['10.1103/physrevb.93.184101'], 'elements': ['Na'], 'othername': None, 'fictional': False}, {'id': '2003--Han-S-Zepeda-Ruiz-L-A-Ackland-G-J-et-al--Nb', 'key': '8e15e753-5d79-47e7-bdd4-2f9a0cf343f3', 'dois': ['10.1063/1.1555275'], 'elements': ['Nb'], 'othername': None, 'fictional': False}, {'id': '2016--Nichol-A-Ackland-G-J--Rb', 'key': 'd29d05b2-33eb-402e-98b2-3e52c8d3db9a', 'dois': ['10.1103/physrevb.93.184101'], 'elements': ['Rb'], 'othername': None, 'fictional': False}, {'id': '2003--Han-S-Zepeda-Ruiz-L-A-Ackland-G-J-et-al--Ta', 'key': 'f04a3f32-e772-47e7-8b2d-d8ec39c2c732', 'dois': ['10.1063/1.1555275'], 'elements': ['Ta'], 'othername': None, 'fictional': False}, {'id': '2003--Han-S-Zepeda-Ruiz-L-A-Ackland-G-J-et-al--V', 'key': '04ad93c0-31f0-413f-a6f0-a68f2e709b8f', 'dois': ['10.1063/1.1555275'], 'elements': ['V'], 'othername': None, 'fictional': False}, {'id': '2003--Han-S-Zepeda-Ruiz-L-A-Ackland-G-J-et-al--W', 'key': '4be111f4-c616-4196-8912-6809c97e5ecb', 'dois': ['10.1063/1.1555275'], 'elements': ['W'], 'othername': None, 'fictional': False}]"
2015-12-24 DOIs and hyperlinks added to citations for easy access of papers and citation validation,2015-12-24,site change,DOIs and hyperlinks added to citations for easy access of papers and citation validation,[]
2015-12-24-DOIs-and-hyperlinks-added-to-citations-for-easy-access-of-papers-and-citation-validation,2015-12-24,site change,DOIs and hyperlinks added to citations for easy access of papers and citation validation,[]
2016-03-11-Updated-reference-to-GULP-format-in-the-FAQ-section,2016-03-11,site change,"Updated reference to GULP format in the <a href=""faq.html"">FAQ section</a>",[]
2016-03-28 New postings for W-H-He,2016-03-28,new posting,New postings for W-H-He,"[{'id': '2014--Bonny-G-Grigorev-P-Terentyev-D--W-H-He-1', 'key': '2a924b21-1fec-4b43-8ce0-9ed732be7c1d', 'dois': ['10.1088/0953-8984/26/48/485001'], 'elements': ['W', 'H', 'He'], 'othername': None, 'fictional': False}, {'id': '2014--Bonny-G-Grigorev-P-Terentyev-D--W-H-He-2', 'key': '60cf81d5-aa01-4f59-aaa0-8ce26fc1395b', 'dois': ['10.1088/0953-8984/26/48/485001'], 'elements': ['W', 'H', 'He'], 'othername': None, 'fictional': False}]"
2016-03-28-New-postings-for-W-H-He,2016-03-28,new posting,New postings for W-H-He,"[{'id': '2014--Bonny-G-Grigorev-P-Terentyev-D--W-H-He-1', 'key': '2a924b21-1fec-4b43-8ce0-9ed732be7c1d', 'dois': ['10.1088/0953-8984/26/48/485001'], 'elements': ['W', 'H', 'He'], 'othername': None, 'fictional': False}, {'id': '2014--Bonny-G-Grigorev-P-Terentyev-D--W-H-He-2', 'key': '60cf81d5-aa01-4f59-aaa0-8ce26fc1395b', 'dois': ['10.1088/0953-8984/26/48/485001'], 'elements': ['W', 'H', 'He'], 'othername': None, 'fictional': False}]"
2016-06-10 New posting for Ti-O,2016-06-10,new posting,New posting for Ti-O,"[{'id': '2016--Zhang-P-Trinkle-D-R--Ti-O', 'key': 'df7bbc58-7b3e-4946-9be1-b155f5c1cab9', 'dois': ['10.1016/j.commatsci.2016.07.039'], 'elements': ['Ti', 'O'], 'othername': None, 'fictional': False}]"
2016-06-10-New-posting-for-Ti-O,2016-06-10,new posting,New posting for Ti-O,"[{'id': '2016--Zhang-P-Trinkle-D-R--Ti-O', 'key': 'df7bbc58-7b3e-4946-9be1-b155f5c1cab9', 'dois': ['10.1016/j.commatsci.2016.07.039'], 'elements': ['Ti', 'O'], 'othername': None, 'fictional': False}]"
2016-07-05 New posting for Au,2016-07-05,new posting,New posting for Au,"[{'id': '2010--Olsson-P-A-T--Au', 'key': '5b382441-b1b6-4734-aaa8-bdffe573b55e', 'dois': ['10.1063/1.3460127'], 'elements': ['Au'], 'othername': None, 'fictional': False}]"
2016-07-05-New-posting-for-Au,2016-07-05,new posting,New posting for Au,"[{'id': '2010--Olsson-P-A-T--Au', 'key': '5b382441-b1b6-4734-aaa8-bdffe573b55e', 'dois': ['10.1063/1.3460127'], 'elements': ['Au'], 'othername': None, 'fictional': False}]"
2016-07-21 New postings for Ti,2016-07-21,new posting,New postings for Ti,"[{'id': '2016--Mendelev-M-I-Underwood-T-L-Ackland-G-J--Ti-1', 'key': 'a9c09560-eae0-42d5-ba9b-c36d9842b0a3', 'dois': ['10.1063/1.4964654'], 'elements': ['Ti'], 'othername': None, 'fictional': False}, {'id': '2016--Mendelev-M-I-Underwood-T-L-Ackland-G-J--Ti-2', 'key': 'd7cb9f4c-5dad-4a9c-b5d7-a45eec8baf9c', 'dois': ['10.1063/1.4964654'], 'elements': ['Ti'], 'othername': None, 'fictional': False}, {'id': '2016--Mendelev-M-I-Underwood-T-L-Ackland-G-J--Ti-3', 'key': '037f3a87-95a7-4ccd-bb59-d119834be82d', 'dois': ['10.1063/1.4964654'], 'elements': ['Ti'], 'othername': None, 'fictional': False}]"
2016-07-21-New-postings-for-Ti,2016-07-21,new posting,New postings for Ti,"[{'id': '2016--Mendelev-M-I-Underwood-T-L-Ackland-G-J--Ti-1', 'key': 'a9c09560-eae0-42d5-ba9b-c36d9842b0a3', 'dois': ['10.1063/1.4964654'], 'elements': ['Ti'], 'othername': None, 'fictional': False}, {'id': '2016--Mendelev-M-I-Underwood-T-L-Ackland-G-J--Ti-2', 'key': 'd7cb9f4c-5dad-4a9c-b5d7-a45eec8baf9c', 'dois': ['10.1063/1.4964654'], 'elements': ['Ti'], 'othername': None, 'fictional': False}, {'id': '2016--Mendelev-M-I-Underwood-T-L-Ackland-G-J--Ti-3', 'key': '037f3a87-95a7-4ccd-bb59-d119834be82d', 'dois': ['10.1063/1.4964654'], 'elements': ['Ti'], 'othername': None, 'fictional': False}]"
2016-07-27 New posting for Ni-Ti,2016-07-27,new posting,New posting for Ni-Ti,"[{'id': '2015--Ko-W-S-Grabowski-B-Neugebauer-J--Ni-Ti', 'key': '904676a4-1559-4205-bc31-b64d5ac26d79', 'dois': ['10.1103/physrevb.92.134107'], 'elements': ['Ni', 'Ti'], 'othername': None, 'fictional': False}]"
2016-07-27-New-posting-for-Ni-Ti,2016-07-27,new posting,New posting for Ni-Ti,"[{'id': '2015--Ko-W-S-Grabowski-B-Neugebauer-J--Ni-Ti', 'key': '904676a4-1559-4205-bc31-b64d5ac26d79', 'dois': ['10.1103/physrevb.92.134107'], 'elements': ['Ni', 'Ti'], 'othername': None, 'fictional': False}]"
2016-08-17 Updated publication information,2016-08-17,updated posting,Updated publication information,"[{'id': '2016--Zhang-P-Trinkle-D-R--Ti-O', 'key': 'df7bbc58-7b3e-4946-9be1-b155f5c1cab9', 'dois': ['10.1016/j.commatsci.2016.07.039'], 'elements': ['Ti', 'O'], 'othername': None, 'fictional': False}]"
2016-08-17-Updated-publication-information,2016-08-17,updated posting,Updated publication information,"[{'id': '2016--Zhang-P-Trinkle-D-R--Ti-O', 'key': 'df7bbc58-7b3e-4946-9be1-b155f5c1cab9', 'dois': ['10.1016/j.commatsci.2016.07.039'], 'elements': ['Ti', 'O'], 'othername': None, 'fictional': False}]"
2016-09-12 New posting for Be,2016-09-12,new posting,New posting for Be,"[{'id': '2013--Agrawal-A-Mishra-R-Ward-L-et-al--Be', 'key': '7d0265d5-3088-44df-8b36-6a08e3799695', 'dois': ['10.1088/0965-0393/21/8/085001'], 'elements': ['Be'], 'othername': None, 'fictional': False}]"
2016-09-12-New-posting-for-Be,2016-09-12,new posting,New posting for Be,"[{'id': '2013--Agrawal-A-Mishra-R-Ward-L-et-al--Be', 'key': '7d0265d5-3088-44df-8b36-6a08e3799695', 'dois': ['10.1088/0965-0393/21/8/085001'], 'elements': ['Be'], 'othername': None, 'fictional': False}]"
2016-10-24 Updated publication information,2016-10-24,updated posting,Updated publication information,"[{'id': '2016--Mendelev-M-I-Underwood-T-L-Ackland-G-J--Ti-1', 'key': 'a9c09560-eae0-42d5-ba9b-c36d9842b0a3', 'dois': ['10.1063/1.4964654'], 'elements': ['Ti'], 'othername': None, 'fictional': False}, {'id': '2016--Mendelev-M-I-Underwood-T-L-Ackland-G-J--Ti-2', 'key': 'd7cb9f4c-5dad-4a9c-b5d7-a45eec8baf9c', 'dois': ['10.1063/1.4964654'], 'elements': ['Ti'], 'othername': None, 'fictional': False}, {'id': '2016--Mendelev-M-I-Underwood-T-L-Ackland-G-J--Ti-3', 'key': '037f3a87-95a7-4ccd-bb59-d119834be82d', 'dois': ['10.1063/1.4964654'], 'elements': ['Ti'], 'othername': None, 'fictional': False}]"
2016-10-24-Added-additional-file-to-generate-temperature-dependent-potentials-based-on-2016--Mendelev,2016-10-24,new posting,"Added additional file to generate temperature-dependent potentials based on <a href=""entry/2016--Mendelev-M-I-Underwood-T-L-Ackland-G-J--Ti-1"">2016--Mendelev-M-I-Underwood-T-L-Ackland-G-J--Ti-1</a> and <a href=""entry/2016--Mendelev-M-I-Underwood-T-L-Ackland-G-J--Ti-2"">2016--Mendelev-M-I-Underwood-T-L-Ackland-G-J--Ti-2</a>","[{'id': '2016--Mendelev-M-I-Underwood-T-L-Ackland-G-J--Ti-Tdep', 'key': '2570077f-8542-49b1-8e5e-ebf27d5849e8', 'dois': ['10.1063/1.4964654'], 'elements': ['Ti'], 'othername': None, 'fictional': False}]"
2016-10-24-Updated-publication-information,2016-10-24,updated posting,Updated publication information,"[{'id': '2016--Mendelev-M-I-Underwood-T-L-Ackland-G-J--Ti-1', 'key': 'a9c09560-eae0-42d5-ba9b-c36d9842b0a3', 'dois': ['10.1063/1.4964654'], 'elements': ['Ti'], 'othername': None, 'fictional': False}, {'id': '2016--Mendelev-M-I-Underwood-T-L-Ackland-G-J--Ti-2', 'key': 'd7cb9f4c-5dad-4a9c-b5d7-a45eec8baf9c', 'dois': ['10.1063/1.4964654'], 'elements': ['Ti'], 'othername': None, 'fictional': False}, {'id': '2016--Mendelev-M-I-Underwood-T-L-Ackland-G-J--Ti-3', 'key': '037f3a87-95a7-4ccd-bb59-d119834be82d', 'dois': ['10.1063/1.4964654'], 'elements': ['Ti'], 'othername': None, 'fictional': False}]"
2016-12-02 New posting for Uranium Mononitride,2016-12-02,new posting,New posting for Uranium Mononitride,"[{'id': '2016--Tseplyaev-V-I-Starikov-S-V--U-N', 'key': '9f317e60-ac61-4533-a756-a023996aaee5', 'dois': ['10.1016/j.jnucmat.2016.07.048'], 'elements': ['U', 'N'], 'othername': None, 'fictional': False}]"
2016-12-02-New-posting-for-Uranium-Mononitride,2016-12-02,new posting,New posting for Uranium Mononitride,"[{'id': '2016--Tseplyaev-V-I-Starikov-S-V--U-N', 'key': '9f317e60-ac61-4533-a756-a023996aaee5', 'dois': ['10.1016/j.jnucmat.2016.07.048'], 'elements': ['U', 'N'], 'othername': None, 'fictional': False}]"
2016-12-19 New posting for Ni-Nb,2016-12-19,new posting,New posting for Ni-Nb,"[{'id': '2016--Zhang-Y-Ashcraft-R-Mendelev-M-I-et-al--Ni-Nb', 'key': '6c80d706-991c-4696-a552-89f2df2368f5', 'dois': ['10.1063/1.4968212'], 'elements': ['Ni', 'Nb'], 'othername': None, 'fictional': False}]"
2016-12-19 New posting for Zr-Nb,2016-12-19,new posting,New posting for Zr-Nb,"[{'id': '2017--Smirnova-D-E-Starikov-S-V--Zr-Nb', 'key': 'c571702e-8d42-433b-8678-c48b1868178d', 'dois': ['10.1016/j.commatsci.2016.12.016'], 'elements': ['Zr', 'Nb'], 'othername': None, 'fictional': False}]"
